factors,regularization,iterations,confidence_scale,Precision@10,Recall@10,MAP@10,NDCG@10
50,0.1,15,0.5,0.01466887417218543,0.07334437086092715,0.02570364238410596,0.04397325378521482
50,0.5,15,0.5,0.014453642384105961,0.0722682119205298,0.025367391989908547,0.04338559393474418
50,1.0,15,0.5,0.01437086092715232,0.07185430463576159,0.025220356354462313,0.04313802143620648
50,0.1,15,1.0,0.013294701986754967,0.06647350993377484,0.02253725165562914,0.03922816987195158
50,0.5,15,1.0,0.01316225165562914,0.0658112582781457,0.02253544491748134,0.0390774323167329
50,1.0,15,1.0,0.013046357615894039,0.0652317880794702,0.022149952696310312,0.038602886116708646
20,0.5,15,0.5,0.01294701986754967,0.06473509933774835,0.021776811994113316,0.03803969296189204
20,0.1,15,0.5,0.0127317880794702,0.063658940397351,0.02182805765794176,0.03780937795075031
20,1.0,15,0.5,0.012715231788079472,0.06357615894039735,0.021821454851256174,0.03773544551529289
20,0.5,15,1.0,0.012218543046357618,0.06109271523178808,0.02009818800588668,0.03552299568535621
20,0.1,15,1.0,0.012235099337748346,0.06117549668874172,0.019965573425838327,0.03539524010247322
20,1.0,15,1.0,0.012036423841059603,0.060182119205298014,0.01959841138442132,0.03491210250672785
10,0.5,15,0.5,0.011175496688741722,0.05587748344370861,0.019201553137811415,0.03334547165546539
10,1.0,15,0.5,0.010794701986754968,0.05397350993377483,0.018614527488699673,0.03234058504073133
10,0.1,15,0.5,0.010844370860927151,0.05422185430463576,0.01857701303479449,0.03231117208448568
10,0.1,15,1.0,0.0102317880794702,0.05115894039735099,0.01759976479554294,0.03050800646694313
10,0.5,15,1.0,0.010529801324503311,0.05264900662251656,0.01726916456428046,0.030452888656103714
10,1.0,15,1.0,0.010198675496688741,0.05099337748344371,0.01681705298013245,0.029677746995563744
