,Precision@10,Recall@10,MAP@10,NDCG@10
Popularity,0.007947019867549669,0.039735099337748346,0.013551028855250708,0.023630300565202263
SVD,0.017980132450331126,0.08990066225165563,0.03272410122989593,0.05478685491520337
ALS,0.013228476821192055,0.06614238410596027,0.022532948333858927,0.03917524881289816
BPR,0.012715231788079472,0.06357615894039735,0.021174248396930512,0.037219445300421636
